Prefix,Long Name (name),Text,Relations,Relation Targets
REQ-000069/A,Screening for Early Failure,"Simcenter EBSD PC hardware shall be submitted to burn-in testing to detect material and workmanship defects, which can result in early component failure.",Satisfy → EBSD,EBSD
REQ-000060/A,Diagnosis,The EBSD system shall have an embedded monitoring capability of the main board temperature,Satisfy → Control Subsystem; Satisfy → EBSD,Control Subsystem; EBSD
REQ-000065/A,Provide Startup Capabilities,"EBSD System EBSD PC shall initialize and perform internal tests as provided by the COTS components, and will provide feedback.",Satisfy → EBSD,EBSD
REQ-000064/A,Provide File Transfer Capabilities,EBSD System shall be specific user's EBSD PC hardware/software system configuration requirements to transfer files are the responsibility of the user. The Simcenter EBSD PC support the transfer of files using the following: USB connector (V2.0); LAN; Wireless,Satisfy → EBSD,EBSD
REQ-000049/A,Provide Caution and Warning Capabilities,EBSD System shall capture specific user's EBSD PC hardware/software system configuration requirements for caution and warning functionality are the responsibility of the user.,Satisfy → EBSD,EBSD
REQ-000051/A,Receive and Process External Data,EBSD System shall capture specific user's EBSD PC hardware/software system configuration requirements for receiving and processing data are the responsibility of the users.,Satisfy → EBSD,EBSD
REQ-000054/A,Provide Communication Capabilities,EBSD System shall capture specific user's hardware/software system configuration requirements to transfer files are out of scope of this PTRS. The EBSD PC support the transfer of data for communication with the following interfaces: USB connector (V2.0),Satisfy → EBSD,EBSD
REQ-000155/A,CAN,The EBSD System shall have 5 CAN connections,Satisfy → Chassis Subsystem; Satisfy → EBSD,Chassis Subsystem; EBSD
REQ-000160/A,Service,The EBSD system shall be capable of service with standard shop tools.,Satisfy → EBSD,EBSD
REQ-000162/A,EBSD board temperatures,The EBSD board temperatures shall be monitored.,Satisfy → EBSD; Satisfy → Control Subsystem,EBSD; Control Subsystem
REQ-000165/A,Component Costs,The EBSD component cost shall not exceed 1500 USD.,Satisfy → EBSD,EBSD
REQ-000151/A,Gigabit Ethernet port,The EBSD System shall have 1 Gigabit Ethernet port.,Satisfy → EBSD,EBSD
REQ-000153/A,RS232,The EBSD System shall 3 RS232 ports.,Satisfy → EBSD,EBSD
REQ-000154/A,RS422/485,The EBSD System shall have 1 RS422/485 ports.,Satisfy → EBSD,EBSD
REQ-000159/A,USB Connector (V2.0),EBSD System shall have USB 2.0 Connector on the Front Panel for mass storage of data.,Satisfy → Structure; Satisfy → EBSD,Structure; EBSD
REQ-000169/A,Fiber Optic RX/TX,The EBSD System hall have 1 Fiber Optic RX/TX port,Satisfy → EBSD,EBSD
REQ-000067/A,Rear Panel Connections,Rear Panel Connections shall beat the back of the box.,Satisfy → Chassis Subsystem,Chassis Subsystem
REQ-000058/A,28 pin I/O interface,The EBSD System shall have 1 28 pin I/O interface,Satisfy → Chassis Subsystem,Chassis Subsystem
REQ-000061/A,Usability,All interfaces and control elements shall be on one side; easy accessibility / usability to interfaces and control elements in standard mounting.,Satisfy → Chassis Subsystem,Chassis Subsystem
REQ-000143/A,Efficiency,The Power Subsystem shall transform power efficiently of higher than 80%..,Satisfy → Power Subsytem,Power Subsytem
REQ-000141/A,Temo Variation,The Power Subsystem shall handle environmental impacts such as temperature variations.,Satisfy → Power Subsytem,Power Subsytem
REQ-000147/A,Power Conversion,The Power Subsystem shall convert power supply to compatible voltages for all subsystems.,Satisfy → Power Subsytem,Power Subsytem
REQ-000146/A,Stability,The Power Subsystem shall manage load distribution for system stability.,Satisfy → Power Subsytem,Power Subsytem
REQ-000142/A,Distribute Power,The Power Subsystem shall distribute power to all necessary components.,Satisfy → Power Subsytem,Power Subsytem
REQ-000144/A,Power Storage,The Power Subsystem shall support energy storage to handle less than 10 second power drops,Satisfy → Power Subsytem,Power Subsytem
REQ-000145/A,Isolation,The Power Subsystem shall provide isolation in case of power faults.,Satisfy → Power Subsytem,Power Subsytem
